"soilseriesname","errorkind","context","mlraoffice"
"ACKWATER","MULTILINE TYPICAL PEDON","[number of multilines=3]","auburn, al"
"AMELIA","MULTILINE TYPICAL PEDON","[number of multilines=1]","auburn, al"
"ANDRY","MULTILINE TYPICAL PEDON","[number of multilines=6]","auburn, al"
"ANNISTON","MULTILINE TYPICAL PEDON","[number of multilines=4]","auburn, al"
"BASSFIELD","MULTILINE TYPICAL PEDON","[number of multilines=5]","auburn, al"
"BEARKNOB","MULTILINE TYPICAL PEDON","[number of multilines=1]","auburn, al"
"BOWMANTOWN","MULTILINE TYPICAL PEDON","[number of multilines=1]","auburn, al"
"BREWTON","MULTILINE TYPICAL PEDON","[number of multilines=1]","auburn, al"
"BUGLEY","DUPLICATION OF HEADERS","[RANGE IN CHARACTERISTICS:]","auburn, al"
"BUGLEY","DUPLICATE STANDARD SECTIONS","[RANGE IN CHARACTERISTICS]","auburn, al"
"BURTON","DUPLICATE STANDARD SECTIONS","[ADDITIONAL DATA]","auburn, al"
"BUSSY","MULTILINE TYPICAL PEDON","[number of multilines=7]","auburn, al"
"CANTUCHE","MULTILINE TYPICAL PEDON","[number of multilines=1]","auburn, al"
"CHIPOLA","MULTILINE TYPICAL PEDON","[number of multilines=1]","auburn, al"
"CHISCA","MULTILINE TYPICAL PEDON","[number of multilines=7]","auburn, al"
"CITICO","MULTILINE TYPICAL PEDON","[number of multilines=6]","auburn, al"
"CLOUDLAND","MULTILINE TYPICAL PEDON","[number of multilines=4]","auburn, al"
"COLUMBUS","MULTILINE TYPICAL PEDON","[number of multilines=1]","auburn, al"
"CRAGGEY","DUPLICATE STANDARD SECTIONS","[ADDITIONAL DATA]","auburn, al"
"DAWHOO","MULTILINE TYPICAL PEDON","[number of multilines=4]","auburn, al"
"DEBUTE","MULTILINE TYPICAL PEDON","[number of multilines=7]","auburn, al"
"DUCKBOTTOM","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Very-fine, kaolinitic, acid, thermic Fluvaquentic Endoaquepts]","auburn, al"
"DURALDE","MULTILINE TYPICAL PEDON","[number of multilines=3]","auburn, al"
"ELLZEY","MULTILINE TYPICAL PEDON","[number of multilines=1]","auburn, al"
"ELRED","MULTILINE TYPICAL PEDON","[number of multilines=6]","auburn, al"
"ENCROW","MULTILINE TYPICAL PEDON","[number of multilines=2]","auburn, al"
"EVANGELINE","MULTILINE TYPICAL PEDON","[number of multilines=1]","auburn, al"
"FLEMINGTON","MULTILINE TYPICAL PEDON","[number of multilines=1]","auburn, al"
"FRED","MULTILINE TYPICAL PEDON","[number of multilines=1]","auburn, al"
"FREDONIA","MULTILINE TYPICAL PEDON","[number of multilines=1]","auburn, al"
"GAINESVILLE","MULTILINE TYPICAL PEDON","[number of multilines=1]","auburn, al"
"GOODWILL","MULTILINE TYPICAL PEDON","[number of multilines=6]","auburn, al"
"GRASMERE","MULTILINE TYPICAL PEDON","[number of multilines=3]","auburn, al"
"GUNDY","DUPLICATE STANDARD SECTIONS","[REMARKS]","auburn, al"
"HANCEVILLE","MULTILINE TYPICAL PEDON","[number of multilines=3]","auburn, al"
"HEIGHTS","MULTILINE TYPICAL PEDON","[number of multilines=6]","auburn, al"
"HILOLO","MULTILINE TYPICAL PEDON","[number of multilines=1]","auburn, al"
"HOBCAW","MULTILINE TYPICAL PEDON","[number of multilines=3]","auburn, al"
"HOBONNY","MULTILINE TYPICAL PEDON","[number of multilines=1]","auburn, al"
"KETONA","MULTILINE TYPICAL PEDON","[number of multilines=3]","auburn, al"
"KIAWAH","MULTILINE TYPICAL PEDON","[number of multilines=3]","auburn, al"
"LOCUST","MULTILINE TYPICAL PEDON","[number of multilines=5]","auburn, al"
"MICAVILLE","DUPLICATE STANDARD SECTIONS","[ADDITIONAL DATA]","auburn, al"
"MIMMS","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Fine, kaolinitic, acid, thermic Fluvaquentic Endoaquepts]","auburn, al"
"MONACAN","MULTILINE TYPICAL PEDON","[number of multilines=4]","auburn, al"
"MONTEOCHA","MULTILINE TYPICAL PEDON","[number of multilines=6]","auburn, al"
"MUCKALEE","MULTILINE TYPICAL PEDON","[number of multilines=1]","auburn, al"
"NAHUNTA","MULTILINE TYPICAL PEDON","[number of multilines=2]","auburn, al"
"NECTAR","MULTILINE TYPICAL PEDON","[number of multilines=4]","auburn, al"
"NEMOURS","MULTILINE TYPICAL PEDON","[number of multilines=6]","auburn, al"
"NOBLETON","MULTILINE TYPICAL PEDON","[number of multilines=6]","auburn, al"
"OLENO","MULTILINE TYPICAL PEDON","[number of multilines=6]","auburn, al"
"PECKISH","MULTILINE TYPICAL PEDON","[number of multilines=8]","auburn, al"
"PERDIDO","MULTILINE TYPICAL PEDON","[number of multilines=2]","auburn, al"
"PILGRIMS","MULTILINE TYPICAL PEDON","[number of multilines=1]","auburn, al"
"POUNCEY","MULTILINE TYPICAL PEDON","[number of multilines=3]","auburn, al"
"RION","MULTILINE TYPICAL PEDON","[number of multilines=1]","auburn, al"
"SATSUMA","MULTILINE TYPICAL PEDON","[number of multilines=3]","auburn, al"
"SHADYGROVE","MULTILINE TYPICAL PEDON","[number of multilines=1]","auburn, al"
"SOLWAY","MULTILINE TYPICAL PEDON","[number of multilines=5]","auburn, al"
